krueger,alciatore
183.252,53.963
183.716,54.335
184.181,54.706
184.645,55.171
185.109,55.635
185.574,56.099
186.038,56.471
186.503,56.935
186.967,57.307
187.431,57.771
187.896,58.236
188.360,58.700
188.825,58.793
189.289,59.443
189.753,59.907
190.218,60.372
190.682,60.743
191.147,61.208
191.611,61.579
192.075,62.044
192.540,62.415
193.004,62.880
193.469,63.344
193.933,63.716
194.397,64.180
194.862,64.644
195.326,65.109
195.791,65.573
196.255,65.945
196.719,66.409
197.184,66.873
197.648,67.338
198.113,67.802
198.577,68.174
199.041,68.638
199.506,69.103
199.970,69.567
200.435,70.031
200.899,70.496
201.363,70.960
201.828,71.425
202.292,71.889
202.757,72.446
203.221,72.818
203.685,73.282
204.150,73.839
204.614,74.397
205.079,75.140
205.543,75.511
206.007,75.976
206.472,76.533
206.936,76.997
207.401,77.555
207.865,78.019
208.329,78.483
208.794,79.041
209.258,79.505
209.723,80.062
210.187,80.620
210.651,81.084
211.116,81.548
211.580,82.013
212.045,82.570
212.509,83.035
212.973,83.406
213.438,83.870
213.902,84.335
214.367,84.799
214.831,85.264
215.295,85.728
215.760,86.192
216.224,86.657
216.689,87.028
217.153,87.493
217.617,87.957
218.082,88.422
218.546,88.793
219.011,89.350
219.475,89.722
219.939,90.186
220.404,90.558
220.868,91.115
221.333,91.580
221.797,91.951
222.261,92.415
222.726,92.973
223.190,93.344
223.655,93.809
224.119,94.273
224.583,94.737
225.048,95.202
225.512,95.666
225.977,96.038
226.441,96.502
226.905,96.967
227.370,97.431
227.834,97.988
228.299,98.360
228.763,98.824
229.227,99.196
229.692,99.660
230.156,100.124
230.621,100.589
231.085,100.682
231.549,101.146
232.014,101.703
232.478,102.354
232.943,103.004
233.407,103.282
233.871,103.747
234.336,104.490
234.800,105.140
235.265,105.976
235.729,106.162
236.193,106.440
236.658,106.812
237.122,107.276
237.587,107.741
238.051,108.298
238.515,108.577
238.980,108.762
239.444,109.784
239.909,110.063
240.373,110.527
240.837,111.084
241.302,111.549
241.766,112.106
242.231,112.570
242.695,112.942
243.159,113.685
243.624,113.871
244.088,114.242
244.553,114.892
245.017,115.450
245.481,115.821
245.946,116.286
246.410,116.750
246.875,117.214
247.339,117.772
247.803,118.236
248.268,118.700
248.732,119.165
249.197,119.815
249.661,120.186
250.125,120.744
250.590,121.115
251.054,121.673
251.519,122.323
251.983,122.601
252.447,123.159
252.912,123.530
253.376,124.273
253.841,125.202
254.305,125.295
254.769,125.295
255.234,125.295
255.698,125.666
256.163,126.409
256.627,127.060
257.091,127.524
257.556,127.988
258.020,128.360
258.485,128.824
258.949,129.289
259.413,129.753
259.878,130.218
260.342,130.775
260.807,131.146
261.271,131.889
261.735,133.190
262.200,133.190
262.664,133.190
263.129,133.190
263.407,133.190
